characteristic,sharpe,mean,std,n_months
High52,2.793255944783899,0.9585041471398559,0.3431494163396512,848.0
VolMkt,0.9515835255074107,0.23924148786018107,0.2514140708064601,841.0
DolVol,0.6834991573613414,0.20387181482975272,0.29827661473176187,847.0
AnnouncementReturn,0.6403406059183079,0.35549908059339175,0.5551718527729051,430.0
zerotrade6M,0.5663756338187304,0.14316164026631506,0.25276800716348297,845.0
hire,0.5294776906041355,0.19246814833538,0.3635056806940691,478.0
dNoa,0.5206704432478756,0.18569219782724142,0.35664055879361467,457.0
zerotrade12M,0.4814104760684619,0.1235615204169109,0.25666562436696766,840.0
InvGrowth,0.4733655268681762,0.15483055425802195,0.32708455827443356,434.0
RIO_Turnover,0.47130589258962197,0.09119231288343559,0.19348859056773782,163.0
GrAdExp,0.4607455823632147,0.10025011267605632,0.21758236326838443,142.0
AssetGrowth,0.4053411412823255,0.15276510468522694,0.37688033393783726,480.0
DivOmit,0.4009174907184139,0.03800219886667444,0.09478807920945868,724.0
zerotrade1M,0.38930613039948164,0.09292426110673924,0.23869200572666596,848.0
FirmAgeMom,0.3882171316640582,0.0506647869637663,0.1305063142025603,200.0
NetDebtFinance,0.37787413024043615,0.152903890441498,0.4046423880465363,408.0
Illiquidity,0.37535565121926723,0.11146655593217067,0.2969625089434354,840.0
XFIN,0.3689812534616737,0.14982547938263746,0.4060517383390587,425.0
Accruals,0.3645776997066832,0.1604959758377042,0.44022433617533213,479.0
LRreversal,0.35632590192967456,0.11772259164465268,0.3303789901523541,670.0
ChInv,0.35297789935041207,0.14094353648797048,0.3992984737779615,480.0
DelCOA,0.3459091351975933,0.14415451364419557,0.4167409847729241,480.0
ChEQ,0.3444691558944884,0.13206022315246363,0.3833731435534215,435.0
MRreversal,0.34376828340318105,0.15356424902255106,0.44670860121917244,698.0
DelEqu,0.3386566237413572,0.13702758342009042,0.4046210049171893,457.0
OrgCap,0.33157885410881843,0.25846860448286324,0.7795087089541551,314.0
DelFINL,0.322215087274835,0.11803562769044762,0.36632557677154487,479.0
RevenueSurprise,0.3055353924746961,0.13662249178591587,0.44715766209386265,285.0
GrLTNOA,0.3048230508990467,0.13893558659484107,0.45579094555042254,480.0
BPEBM,0.3043214986806482,0.24043083204516014,0.7900553627907365,343.0
IndRetBig,0.3038642585979052,0.11358063668324847,0.3737874181298381,724.0
CitationsRD,0.2975017366977217,0.3923627928282828,1.3188588314929575,165.0
PriceDelayRsq,0.2966086517440442,0.08486515882465923,0.28611828524102817,834.0
Beta,0.2907934184040337,0.11320348183973408,0.38929176066305277,828.0
ConvDebt,0.2895075040142679,0.0753556638324412,0.2602891558511292,507.0
MomOffSeason,0.28498132763134687,0.09823808827919361,0.3447176314873332,691.0
ExchSwitch,0.2608355743500606,0.01261537376594642,0.048365234678516875,724.0
RDcap,0.25444279609049975,0.13674392452638898,0.5374250190119438,178.0
BetaFP,0.24730306858732068,0.08484288493541925,0.34307251187812055,803.0
InvestPPEInv,0.24718111213961588,0.083661290011866,0.33846150010285325,470.0
retConglomerate,0.24516256772501177,0.1936013856960409,0.7896857480836764,261.0
OPLeverage,0.21549553206694544,0.08694808690011595,0.40347976622134707,507.0
ChTax,0.20856111939824754,0.07191069422084144,0.34479434339594206,415.0
MomSeason11YrPlus,0.20296399288681433,0.0836803550700253,0.41229162808543485,550.0
DelDRC,0.1974675581619315,0.08080100000000003,0.4091862012783886,30.0
ChNWC,0.19177059164644378,0.08433453323993947,0.43976781067361,479.0
MomSeason16YrPlus,0.18419648226811025,0.29712775052357415,1.61310219861357,444.0
